2016-07-28 09:44:37,684;Une erreur est survenue !
2016-07-28 09:47:40,843;Pression sur le bouton "START"
2016-07-28 09:47:40,967;[ERROR] - (boucle principale)
2016-07-28 09:47:43,686;Une erreur est survenue !
2016-07-28 09:49:27,179;Casse du fil !
2016-07-28 10:46:27,777;Pression sur le bouton "START"
2016-07-28 10:49:33,443;Pression sur le bouton "START"
2016-07-28 10:51:25,185;Pression sur le bouton "START"
2016-07-28 10:54:32,762;Pression sur le bouton "START"
2016-07-28 11:04:50,731;Pression sur le bouton "START"
2016-07-28 11:06:53,986;Pression sur le bouton "START"
2016-07-28 11:08:20,999;Pression sur le bouton "START"
2016-07-28 11:09:02,447;Pression sur le bouton "START"
2016-07-28 11:20:03,155;Pression sur le bouton "START"
